Title,Number,Arranger/Composer
Memories of You ,389,
Norwegian Wood ,390,Peistrup
Savoy ,390,Enos
Well You Needn’t ,392,Martin
Historia d'un Amor ,395,Flato
Nasty Mangus ,396,Q. Jones
Desafinado ,397,Lowden
Cherry Pink & Apple Blossom White ,399,Prado
Valve Job ,400,Como
Sandu ,401,Barnes
All Play,402,Como
Big Ben,403,Como
Willow Wisp ,404,Como
If Dreams Come True ,405,Como
Broadway ,407,Como
The Song Is You ,409,R. Como
Idaho ,410,R. Como
Pipin' Hot ,411,Como
I'm Beginning to See the Light ,412,Goodwin
Skin Tone ,413,Hooper
Button Up Your Overcoat ,416,Close
Blues for Miz Charlie ,417,Fisher
Moon Nocturne ,418,Como
Days of Wine and Roses ,422,Como
Round Midnight ,423,Como
Blues for Alfy ,424,Holman
Any Dude'll Do,425,Holman
After You've Gone,426,Holman
Mulligan Tawny ,427,Holman
Great Scott ,428,Como
Let’s Get Away from It All ,429,Como
West Coast Blues ,430,Como
Basie’s Buddy B,431.8,LaBarbera
Play-On Play-Off ,432,Como
Slow Hot Wind ,435,Reisman
Stolen Sweets ,436,Mancini
Invitation ,437,Como
Smooth & Silky ,438,Como
Young and Foolish ,439,Como
It Could Happen to You ,440,Como
All the Things You Are,441,Como
Patrick’s Pad ,442,Como
Small Talk ,445,Nestico
This Way ,446,Nestico
Wind & Rain in Your Hair ,447,Eberhardt
A Bucket of Blues,448,Hill
Around Midnight,450,Barnes
Lunch with Lunceford ,460,Como
Cool Eyes ,468,McConnell
A Flower Is a Lovesome Thing,477,Como
Groovin’ High ,478,Shanklin
Groovin' High ,479,Osser
Gleeful Lee ,484,Como
Stockholm Sweetin' ,487,Enos?
Jessica's Day ,507,Q. Jones
Countessa ,512,Niehaus
Booke Ends ,516,Kubis
Sweet and Lovely ,517,Oster
Tadpole ,518,Hughes
Bein’ Green,520,Barduhn
Are We Not the Cats,521,Brisker
I Never Knew ,523,Wolpe
Get Up and Go ,524,Nestico
Bear Bones,525,Niehaus
How High the Moon ,526,Nestico
Blue Champagne ,559,Dedrick
Billy May for President,560,Nestico
Stan Kenton “Hits” Medley ,779,Curnow
In Full Swing ,815,Niehaus
Mack the Knife ,857,
That Old Black Magic ,858,
