Number,Title,Composer,Arranger,Album,Audio,MP3,PDF,Feature
262,Red Top,,Mark Taylor,,,,,
263,Rachel,Sammy Nestico,,,,,,
264,Poor Butterfly,,Dave Wolpe,,,,,
265,Scott's Place,Sammy Nestico,,Have a Nice Day (Count Basie),,https://belassiter.com/babb/265-scotts_place.mp3,https://belassiter.com/265-scotts_place.pdf,
266,Groove Merchant,,Barduhn,,,,,
267,Don't Get Around Much Anymore,Duke Ellington,Sammy Nestico,,,,,
274,Orange Sherbert (easy),Sammy Nestico,,,,,,
275,The Heat's On,Sammy Nestico,,,,,,
276,Bijou,,,,,,,
286,Gentle Jim,,,,,,,
295,Star Eyes,,?,,,,,
296,Wait Until Dark,,,,,,,Tenor Sax
311,Saturday Night,,Frank Como,,,,,Bass Trombone/Bass
323,When Sunny Gets Blue,,,,,,,Alto Sax
345,Who's Sorry Now,Sammy Nestico,,Cleveland Jazz Orchestra,,https://belassiter.com/babb/345-whos_sorry_now.mp3,https://belassiter.com/babb/345-whos_sorry_now.pdf,Tenor Sax
360,Hayburner,Sammy Nestico,,Basie Straight Ahead,,https://belassiter.com/babb/360-hayburner-nestico.mp3,https://belassiter.com/babb/360-hayburner-nestico.pdf,
368,Poinciana,Simon/Bernier,Alan Close,,,,,
370,Sambani,Frank Como,,,,,,
392,Well You Needn't,Thelonious Monk,Jim Martin,,,,,
400,Valve Job,Frank Como,Frank Como,Lionel Hampton Big Band: Air Mail Special,,https://belassiter.com/babb/400-valve_job.mp3,https://belassiter.com/babb/400-valve_job.pdf,Trombone Section
422,Days of Wine and Roses,Mancini/Mercer,Dave Wolpe,,,,,Bari Sax
423,'Round Midnight,,Frank Como,,,,,Tenor
425,Any Dude'll Do,Bill Holman,,A View from the Side,,https://belassiter.com/babb/any_dudell_do_holman.mp3,https://belassiter.com/babb/any_dudell_do_holman.pdf,
426,After You've Gone,Creamer/Layton,Bill Holman,In A Jazz Orbit,,https://belassiter.com/babb/after_youve_gone_holman.mp3,https://belassiter.com/babb/after_youve_gone_holman.pdf,
427,Mulligan Tawney,Bill Holman,(Woody Herman),,,https://belassiter.com/babb/427-mulligan_tawny.mp3,,
428,Great Scott,,,,,,,Tenor Battle
429,Let's Get Away,,,,,,,
436,Stolen Sweets,Henry Mancini,,,,,,
437,Invitation,Kaper/Webster,,,,,,Alto Sax
442,Patrick's Pad,Frank Como,,,,,,Bass
446,This Way,,,,,,,
447,Wind and Rain in Your Hair,,(Stan Kenton),,,,,
466,I May Be Wrong,,Frank Como,,,,,Trombone Section
484,Gleeful Lee,,Frank Como,,,,,
507,Jessica's Day,Quincy Jones,(Count Basie),One More Time,,https://belassiter.com/babb/507-jessicas_day.mp3,,
516,Booke Ends,Tom Kubis,,,,https://belassiter.com/babb/516-booke_ends.mp3,,
518,Tadpole,Van Hughes,,,,,,
519,Wave,Antonio Carlos Jobim,John LaBarbera,Stick It (Buddy Rich),,https://belassiter.com/babb/519-wave.mp3,https://belassiter.com/babb/519-wave.pdf,Trombone Section
521,Are We Not the Cats?,Gordon Brisker,Woody Herman,,,,https://belassiter.com/babb/521-are_we_not_the_cats.pdf,
523,I Never Knew,,,,,,,
524,Get Up and Go,Sammy Nestico,Louis Bellson,,,,https://belassiter.com/babb/524-get_up_and_go-nestico.pdf,
559,Blue Champagne,Watts and Ryerson,Art Dedrick,,,https://belassiter.com/babb/559-blue_champagne.mp3,https://belassiter.com/babb/559-blue_champagne.pdf,Bari Sax
815,In Full Swing,Lennie Niehaus,Lennie Niehaus,,,,,
